"","Player","Nation","Pos","Squad","Age","League","Year","DefPred"
"1617","C. Namugga","Esia","DF","Weak Chargers",22,"C","2021",12.9805666666667
"483","M. Dufour","Esia","DF","Spicy Gophers",29,"C","2020",12.9880333333333
"21","O. Kia","Western Niasland","MFDF","Fighting Cougars",20,"A","2020",12.9929666666667
"1114","T. Nouri","People's Land of Maneau","DF","Horrible Grizzlies",22,"A","2021",12.999
"223","A. Zimmermann","Redohrainbri","DF","Hideous Pioneers",27,"B","2020",13.0134
"2103","T. Nouri","Rarita","DF","Black Coyotes",22,"RFL","2021",13.0167333333333
"707","D. Saleh","Sobianitedrucy","DFMF","Rowdy Clippers",23,"D","2020",13.0177
"742","Z. Kiirya","Lefghau","DF","Strange Pioneers",21,"D","2020",13.0208333333333
"975","U. Ahebwa","Nganion","DF","Ultimate Penguins",23,"E","2020",13.0236333333333
"2111","V. Mansoor","Rarita","DF","Educated Avengers",31,"RFL","2021",13.0372666666667
"352","E. Odeke","Coastpa Barleslands","DF","Weak Blimps",20,"B","2020",13.0406
"194","E. Gamal","Dosqaly","DF","Golden Rustlers",26,"B","2020",13.0441333333333
"161","J. Jere","Giumle Lizeibon","DF","Swift Musketeers",20,"A","2020",13.0476
"353","Q. bin Abd Rahman","Dosqaly","DF","Weak Blimps",19,"B","2020",13.0518
"1123","K. Mirkovi?","People's Land of Maneau","DF","Horrible Storm",27,"A","2021",13.0532333333333
"2001","V. Quay","Lefghau","DF","Polar Kangaroos",31,"E","2021",13.0533333333333
"1751","D. Amoako","Dosqaly","DF","Marvelous Patriots",18,"D","2021",13.0594333333333
"772","I. Mutabazi","Sobianitedrucy","DF","Wet Flames",23,"D","2020",13.0644
"765","J. Mubangizi","Central Diasongo","DF","Wet Flames",18,"D","2020",13.0667
"1930","R. Khonje","Nganion","MFDF","Flying Penguins",19,"E","2021",13.0748666666667
"1280","H. Pärn","Iverde","DF","Mean Colts",26,"B","2021",13.0860666666667
"1678","W. Ongom","Sobianitedrucy","DF","Coy Sunbirds",30,"D","2021",13.0951
"238","K. Weiß","Central Diasongo","DF","Overconfident Kangaroos",22,"B","2020",13.0965333333333
"1974","Q. Lou","Nganion","FWDF","Mad Kingsmen",18,"E","2021",13.1152
"1653","Z. Vilanculos","Esia","DFMF","Wicked Gentlefolk",23,"C","2021",13.1197
"497","A. Berisha","People's Land of Maneau","DF","Supreme Jaguars",22,"C","2020",13.127
"2147","J. Tumuhimbise","Rarita","DF","Serious Buffaloes",19,"RFL","2021",13.1363666666667
"2118","L. Chhang","People's Land of Maneau","DF","Mad Wolverines",27,"RFL","2021",13.1365333333333
"1020","M. Beck","Rarita","DF","Mad Cardinals",24,"RFL","2020",13.1478
"271","W. Muchenje","Biarizea","DF","Simple Privateers",23,"B","2020",13.1485
"159","M. De Smet","Redohrainbri","MFDF","Sugar Storm",33,"A","2020",13.1487666666667
"1905","K. Kastelic","Nganion","DFMF","Delta Colts",31,"E","2021",13.1609666666667
"1459","R. Dahl","Byasier Pujan","DFMF","Blue Jaguars",18,"C","2021",13.1615
"748","H. Ayaa","Rosvi","DFMF","Strange Pioneers",19,"D","2020",13.1713333333333
"891","N. Muzenda","Nganion","DF","Polar Kangaroos",24,"E","2020",13.1713333333333
"209","H. Kaweesi","Dosqaly","DF","Grotesque Rocks",27,"B","2020",13.1744666666667
"20","B. Kakooza","Central Namemo Laand","MFDF","Fighting Cougars",31,"A","2020",13.1827333333333
"1262","X. binti Awang","Rosvi","DF","Grotesque Rocks",30,"B","2021",13.1909
"966","D. Akugizibwe","Imaar Vircoand","DFMF","Swift Marauders",30,"E","2020",13.1988666666667
"70","Z. Nakagawa","People's Land of Maneau","DF","Mighty Jays",21,"A","2020",13.2021333333333
"1412","Y. Kat?","Dosqaly","MFDF","Villainous Eagles",33,"B","2021",13.2037666666667
"341","K. Weiß","Central Diasongo","DF","Villainous Eagles",22,"B","2020",13.2044333333333
"57","K. Mirkovi?","People's Land of Maneau","DF","Horrible Storm",26,"A","2020",13.2048333333333
"875","U. Ilves","Nganion","DF","Orange Giants",34,"E","2020",13.2056333333333
"1571","A. Mwesigwa","Esia","DFMF","Spicy Gophers",25,"C","2021",13.2064666666667
"1718","M. Namusisi","Sobianitedrucy","DF","Flying Bombadiers",14,"D","2021",13.2144666666667
"1146","I. Ssentongo","Varijitri Isles","DF","Old Mustangs",20,"A","2021",13.2193666666667
"725","C. Negri","Biarizea","DF","Spicy Pointers",27,"D","2020",13.2207666666667
"499","I. Ssentongo","Varijitri Isles","DF","Supreme Jaguars",19,"C","2020",13.2235
"941","X. Ayugi","Nganion","DF","Serious Magicians",22,"E","2020",13.2268
"211","X. binti Awang","Rosvi","DF","Grotesque Rocks",29,"B","2020",13.2277666666667
"899","P. Nabbanja","Newgan Ruland","DF","Punctual Leopards",27,"E","2020",13.2359
"1612","J. Anguko","Quewenia","DFMF","Ultimate Longhorns",28,"C","2021",13.2419
"588","G. Ribeiro","Imaar Vircoand","DF","Flying Bombadiers",26,"D","2020",13.2455666666667
"1660","A. Nekesa","Sobianitedrucy","DF","Coy Catamarans",22,"D","2021",13.2456333333333
"1257","E. Fujii","Dosqaly","DF","Grotesque Rocks",20,"B","2021",13.2472333333333
"285","J. Ginting","Dosqaly","DFMF","Solemn Leopards",17,"B","2020",13.252
"1447","P. Ssempijja","Esia","MFDF","Awkward Trailblazers",31,"C","2021",13.2573
"1929","G. Nalwoga","Nganion","MFDF","Flying Penguins",30,"E","2021",13.2598666666667
"1018","A. Juki?","Rarita","DF","Mad Cardinals",24,"RFL","2020",13.2605333333333
"1286","G. Bernardi","Dosqaly","DF","Mean Poets",34,"B","2021",13.2653333333333
"874","U. Businge","Nganion","DF","Orange Giants",26,"E","2020",13.2677666666667
"1273","A. Namataka","Dosqaly","DF","Mean Colts",20,"B","2021",13.2718
"297","R. Horvat","Dosqaly","DF","Supreme Janes",20,"B","2020",13.2737
"1401","H. Afriyie","Dosqaly","DFMF","Unethical Comets",23,"B","2021",13.2792
"856","U. Kazlo?ski","Ingre","DF","Mighty Jimmies",24,"E","2020",13.2872666666667
"1747","U. Morales","Sobianitedrucy","DF","Marvelous Heels",19,"D","2021",13.2941
"697","J. Bahri","Sobianitedrucy","DFMF","Remarkable Flames",23,"D","2020",13.2955666666667
"212","O. Tshuma","Rarita","DFMF","Grotesque Rocks",24,"B","2020",13.2967
"96","H. Farina","People's Land of Maneau","DF","Punctual Rustlers",22,"A","2020",13.2985666666667
"800","E. Odeke","Coastpa Barleslands","DF","Festive Governors",20,"E","2020",13.3014
"516","K. Marufu","Imaar Vircoand","DF","Ultimate Longhorns",33,"C","2020",13.3038
"163","L. Chiu","Lylimi","DF","Swift Musketeers",30,"A","2020",13.3054333333333
"192","A. Palmieri","Landsfupua","DF","Glistening Paladins",33,"B","2020",13.3140666666667
"257","I. Norouzi","Nganion","DF","Serious Thunderbirds",23,"B","2020",13.3306
"1095","M. Nkhata","People's Land of Maneau","FWDF","Great Galactic Gorgons",16,"A","2021",13.3306333333333
"28","X. Nalukenge","Southslands","DF","Great Galactic Gorgons",29,"A","2020",13.3405333333333
"1434","U. Mousavi","Dosqaly","DF","Wet Monarchs",21,"B","2021",13.3425333333333
"2142","I. Raut","Rarita","MFDF","Red Anchormen",20,"RFL","2021",13.3448666666667
"1837","G. Omirambe","Imaar Vircoand","DF","Strange Pioneers",24,"D","2021",13.3469
"1839","C. Haas","Janmico","DF","Strange Pioneers",28,"D","2021",13.3505333333333
"292","M. Nagudi","Pitpu Biaal","DF","Somber Stallions",25,"B","2020",13.3513666666667
"30","Z. Okon","Byasier Pujan","DF","Green Fleet",21,"A","2020",13.361
"478","M. Nakkazi","Slandsganiamayotteque","DF","Silver Frogs",26,"C","2020",13.3651
"1179","D. Tawiah","Thaijagypt","DF","Solemn Cougars",36,"A","2021",13.3674
"2015","E. Wang","Nganion","DF","Punctual Leopards",20,"E","2021",13.3674333333333
"1380","R. Majoni","Coastpa Barleslands","MFDF","Swift Rustlers",21,"B","2021",13.3714333333333
"1327","R. Dumont","Tabhu Striary","DF","Simple Jayhawks",25,"B","2021",13.3724333333333
"345","M. Okori","Dosqaly","DF","Villainous Eagles",18,"B","2020",13.3814
"301","I. Nantale","Lefghau","DF","Supreme Janes",29,"B","2020",13.3824666666667
"321","B. Chided","Lefghau","DF","Unaccountable Foxes",29,"B","2020",13.3862333333333
"1361","J. Ginting","Dosqaly","MFDF","Somber Stallions",18,"B","2021",13.3878666666667
"1849","S. Candiru","Nganion","DFFW","Strange Pioneers",22,"D","2021",13.3917333333333
"425","A. Malkah","Esia","MFDF","Little Lollipops",29,"C","2020",13.3928333333333
"55","B. Stewart","People's Land of Maneau","DF","Horrible Storm",23,"A","2020",13.4129
"664","I. Mutabazi","Sobianitedrucy","DF","Punctual Fire",23,"D","2020",13.4168
"1613","Q. Khumalo","Esia","FWDF","Ultimate Longhorns",22,"C","2021",13.4226
"873","H. Gumisiriza","Nganion","DF","Orange Giants",29,"E","2020",13.4228
"1091","I. Najjemba","Southslands","DF","Great Galactic Gorgons",27,"A","2021",13.4283333333333
"676","A. Davies","Rosvi","DF","Red Rangers",28,"D","2020",13.4305666666667
"2082","Q. Namazzi","Nganion","DF","Swift Bison",25,"E","2021",13.4348666666667
"1411","U. bin Salleh","Unicorporated Tiagascar","DF","Villainous Eagles",30,"B","2021",13.4392333333333
"3","M. Mahlangu","Imaar Vircoand","DF","Fanatical Outlaws",34,"A","2020",13.4488
"387","F. Ashaba","Giumle Lizeibon","DF","Blue Jaguars",22,"C","2020",13.4526
"210","U. Müller","Dosqaly","DF","Grotesque Rocks",22,"B","2020",13.4743
"556","A. Ninsiima","Sobianitedrucy","DF","Deranged Defenders",34,"D","2020",13.4825333333333
"2139","Z. Quek Kwik","Esia","DFMF","Red Anchormen",24,"RFL","2021",13.4850333333333
"1263","O. Tshuma","Rarita","DFMF","Grotesque Rocks",25,"B","2021",13.4869666666667
"1400","M. Mizrahi","Rosvi","DF","Unethical Comets",24,"B","2021",13.4886
"1508","N. Ofosu","Esia","DF","Marvelous Anchors",27,"C","2021",13.4937
"932","S. Kule","Nganion","DF","Screaming Ramblers",23,"E","2020",13.5108666666667
"1729","Q. Krasniqi","Sobianitedrucy","DF","Hideous Spartans",19,"D","2021",13.512
"1399","L. Kalni?š","Lefghau","DF","Unethical Comets",42,"B","2021",13.5139333333333
"215","M. Wójcik","Dosqaly","DF","Hideous Pioneers",24,"B","2020",13.5143
"1096","F. Nakazibwe","People's Land of Maneau","MFDF","Great Galactic Gorgons",25,"A","2021",13.5146333333333
"1224","S. Rahmani","Thaijagypt","DF","Weak Tornadoes",28,"A","2021",13.5155
"553","G. Ribeiro","Imaar Vircoand","DF","Deranged Defenders",26,"D","2020",13.5184
"1896","G. Syu","Janmico","DF","Delta Colts",26,"E","2021",13.5215333333333
"1393","Y. Peter","Central Namemo Laand","DF","Unethical Comets",29,"B","2021",13.5275333333333
"1163","C. Boyko","Dosqaly","DF","Silver Heels",30,"A","2021",13.5287666666667
"78","D. Lejeune","People's Land of Maneau","DF","Odd Ducks",34,"A","2020",13.5384333333333
"683","D. Balázs","Nkasland Cronestan","DFMF","Red Rangers",24,"D","2020",13.5418666666667
"544","X. Tambala","Dosqaly","DF","Coy Sunbirds",30,"D","2020",13.5482
"720","L. Bekher","Sobianitedrucy","DF","Serious Ranchers",18,"D","2020",13.5493
"1894","D. Magala","Republic of Denand Landsa","MFDF","Deferred Dolphins",27,"E","2021",13.5499333333333
"1198","K. Mpofu","Nganion","DF","Stacked Rocks",23,"A","2021",13.5514
"692","G. Muzamba","Sobianitedrucy","DF","Remarkable Flames",27,"D","2020",13.5557
"1208","F. Fujihara","People's Land of Maneau","DF","Swift Musketeers",23,"A","2021",13.5572
"1830","E. Kiyingi","Sobianitedrucy","DFMF","Spicy Pointers",20,"D","2021",13.5572333333333
"691","G. Efendi","Sobianitedrucy","DF","Remarkable Flames",28,"D","2020",13.5602333333333
"276","H. Lefebvre","Reugha","DF","Simple Privateers",24,"B","2020",13.5616333333333
"426","O. Obeng","Quewenia","MFDF","Little Lollipops",22,"C","2020",13.5722333333333
"520","H. Marroquín","Giumle Lizeibon","DFMF","Ultimate Longhorns",30,"C","2020",13.5741333333333
"2008","O. Nalubega","Southern Ristan","DFMF","Polar Kangaroos",26,"E","2021",13.5781666666667
"1514","Q. Tushabe","Byasier Pujan","DF","Mean Trolls",29,"C","2021",13.5818666666667
"406","V. Athieno","Quewenia","MFDF","Fiery Governors",23,"C","2020",13.5849
"1985","I. Murakami","Nganion","DFMF","Orange Giants",21,"E","2021",13.5864666666667
"1651","I. Romano","Iverde","DFFW","Wicked Gentlefolk",17,"C","2021",13.5974666666667
"430","J. Nakyanzi","Esia","DF","Marvelous Anchors",25,"C","2020",13.5978666666667
"344","M. Lehmann","Dosqaly","DF","Villainous Eagles",25,"B","2020",13.6005333333333
"1264","B. Okyere","Dosqaly","FWDF","Grotesque Rocks",21,"B","2021",13.6035333333333
"724","N. Muhammadu","Byasier Pujan","DFMF","Serious Ranchers",24,"D","2020",13.6096333333333
"393","S. Armah","Mico","DFFW","Blue Jaguars",23,"C","2020",13.6120666666667
"1068","J. Bala","People's Land of Maneau","DFFW","Fanatical Outlaws",27,"A","2021",13.6174
"1088","T. Awuah","People's Land of Maneau","DF","Great Galactic Gorgons",26,"A","2021",13.6269333333333
"830","I. Tng","Nganion","DF","Horrible Bison",22,"E","2020",13.6285666666667
"1044","F. Mishra","Nganion","DF","Walking Runners",28,"RFL","2020",13.6358
"652","Q. Atiku","Sobianitedrucy","DF","Mighty Monkeys",29,"D","2020",13.6358666666667
"2010","J. Khoh","Nganion","MFDF","Polar Kangaroos",25,"E","2021",13.6510666666667
"1297","C. Prakash","Dosqaly","DF","Overconfident Kangaroos",18,"B","2021",13.6529
"1454","E. Patra","People's Land of Maneau","DF","Blue Jaguars",20,"C","2021",13.6566666666667
"1122","H. Steiner","People's Land of Maneau","DF","Horrible Storm",22,"A","2021",13.6599333333333
"1383","B. Nandudu","Dosqaly","DF","Unaccountable Foxes",19,"B","2021",13.6603
"1467","M. Watson","Dosqaly","DF","Fiery Governors",24,"C","2021",13.6608666666667
"109","Z. Mutandwa","People's Land of Maneau","DF","Silver Heels",32,"A","2020",13.6617666666667
"255","L. Rostami","Former Maneau","DF","Serious Thunderbirds",26,"B","2020",13.6712
"1266","G. Sande","Central Diasongo","DF","Jumping Beans",24,"B","2021",13.6738
"842","O. Akia","Nganion","DF","Mad Bees",27,"E","2020",13.6879
"840","K. Awuah","Nganion","DF","Mad Bees",29,"E","2020",13.6935333333333
"735","V. Lahtinen","Sobianitedrucy","DF","Spicy Pointers",22,"D","2020",13.7041
"1116","V. bin Ali","Sobianitedrucy","DF","Horrible Grizzlies",25,"A","2021",13.7044
"492","M. Lunkuse","Dosqaly","DF","Supreme Jaguars",19,"C","2020",13.7115333333333
"416","J. Adam","Esia","FWDF","Horrible Flames",29,"C","2020",13.7133666666667
"1530","X. Kawooya","Giumle Lizeibon","DF","Punctual Archers",33,"C","2021",13.7193
"1693","N. Cudjoe","Cabral Retrea","DF","Fighting Wave",18,"D","2021",13.7252333333333
"645","L. Chiu","Lylimi","DF","Mighty Monkeys",30,"D","2020",13.7262333333333
"315","L. Fung","Greri Landmoslands","DFMF","Swift Rustlers",22,"B","2020",13.7322333333333
"1261","U. Müller","Dosqaly","DF","Grotesque Rocks",23,"B","2021",13.7328
"660","K. Y?ld?z","Nkasland Cronestan","DF","Punctual Fire",24,"D","2020",13.7384
"1022","Q. Sano","Rarita","DF","Mad Cardinals",20,"RFL","2020",13.7397666666667
"790","C. Roux","Nganion","DF","Delta Colts",33,"E","2020",13.7432333333333
"1215","J. Tsan","Byasier Pujan","DF","Weak Tornadoes",26,"A","2021",13.7453333333333
"1452","F. Ashaba","Giumle Lizeibon","DF","Blue Jaguars",23,"C","2021",13.7457666666667
"1636","R. Zamani","Giumle Lizeibon","DFFW","White Firebirds",23,"C","2021",13.7467666666667
"1398","D. Nangiro","Greri Landmoslands","DF","Unethical Comets",29,"B","2021",13.7485
"670","P. O’Neill","Pahon","MFDF","Punctual Fire",24,"D","2020",13.7527
"250","E. Fernando","Dosqaly","DF","Serious Thunderbirds",27,"B","2020",13.7558333333333
"1061","P. Nakubulwa","Dosqaly","DF","Fanatical Outlaws",23,"A","2021",13.7604333333333
"871","A. Tio","Nganion","DF","Orange Giants",32,"E","2020",13.7612
"1170","Z. Mutandwa","People's Land of Maneau","DF","Silver Heels",33,"A","2021",13.7622
"371","I. Matsinhe","Dosqaly","DFFW","Wet Monarchs",20,"B","2020",13.7692333333333
"657","Z. Kiirya","Lefghau","DF","Punctual Fire",21,"D","2020",13.7948666666667
"1975","A. Mugisha","Nganion","MFDF","Mad Kingsmen",20,"E","2021",13.8012666666667
"1196","C. Magombo","Djipines","DF","Stacked Rocks",22,"A","2021",13.8084
"989","A. Hasibuan","Rarita","DF","Educated Avengers",25,"RFL","2020",13.8133333333333
"1136","G. Dijkstra","People's Land of Maneau","FWDF","Mighty Jays",18,"A","2021",13.8195
"940","V. Ang","Nganion","DF","Serious Magicians",28,"E","2020",13.8205333333333
"346","S. Parisi","Dosqaly","DF","Villainous Eagles",31,"B","2020",13.8275666666667
"1183","O. binti Mohamad","Djipines","DF","Somber Bombers",28,"A","2021",13.8281666666667
"538","H. Marroquín","Giumle Lizeibon","DF","White Firebirds",30,"C","2020",13.8298
"1182","C. Kawooya","Republic of Denand Landsa","MFDF","Solemn Cougars",23,"A","2021",13.8313333333333
"663","G. Feldman","Sobianitedrucy","DF","Punctual Fire",24,"D","2020",13.8317666666667
"1950","R. Orlando","Nganion","DF","Horrible Bison",22,"E","2021",13.8367666666667
"1609","J. Namale","Rosvi","DF","Ultimate Longhorns",27,"C","2021",13.837
"792","N. Turyasingura","Nganion","DF","Delta Colts",30,"E","2020",13.8391
"228","L. Wenene","Southern Ristan","DF","Jumping Beans",24,"B","2020",13.8402
"1073","I. Ludwig","People's Land of Maneau","DF","Fighting Cougars",28,"A","2021",13.8416
"108","Z. Kayendeke","People's Land of Maneau","DF","Silver Heels",19,"A","2020",13.8481
"1820","B. Y?lmaz","Central Namemo Laand","DF","Spicy Pointers",22,"D","2021",13.8527666666667
"560","H. Arab","Sobianitedrucy","DF","Deranged Defenders",30,"D","2020",13.8541333333333
"979","V. It?","Mico","DF","Black Coyotes",30,"RFL","2020",13.8560333333333
"1823","F. Yusuf","Sobianitedrucy","DF","Spicy Pointers",26,"D","2021",13.8562333333333
"988","V. Meijer, Meyer","Southern Ristan","FWDF","Black Coyotes",20,"RFL","2020",13.8591666666667
"388","M. Birabwa","Ingre","DF","Blue Jaguars",25,"C","2020",13.8631666666667
"1004","E. Ivano?","Rarita","DFMF","Golden Cadets",32,"RFL","2020",13.8645
"647","W. Ly","Northslands","DF","Mighty Monkeys",26,"D","2020",13.8663333333333
"1067","I. Huber","Lenia Gerdanho","DFFW","Fanatical Outlaws",26,"A","2021",13.8763333333333
"1256","S. Namanya","Central Diasongo","DF","Grotesque Rocks",31,"B","2021",13.8838333333333
"2063","G. Magaya","Nganion","DFMF","Screaming Ramblers",24,"E","2021",13.8920333333333
"18","D. bin Salleh","Southslands","DF","Fighting Cougars",27,"A","2020",13.9131
"845","Y. Okori","Nganion","DF","Mad Bees",30,"E","2020",13.9157
"1984","U. Businge","Nganion","DF","Orange Giants",27,"E","2021",13.9250333333333
"363","F. Fournier","Pierrema","FWDF","Weak Blimps",23,"B","2020",13.9300666666667
"1517","C. Ndiweni","Galamily","DF","Mean Trolls",32,"C","2021",13.9332
"1092","X. Nalukenge","Southslands","DF","Great Galactic Gorgons",30,"A","2021",13.9334
"533","I. binti Omar","Djipines","DF","White Firebirds",18,"C","2020",13.9464
"1503","M. Li","Iverde","FWDF","Little Lollipops",32,"C","2021",13.9489333333333
"636","O. Nanyanzi","Lefghau","DF","Mean Wolves",24,"D","2020",13.9546666666667
"435","K. Okoro","Esia","DFMF","Marvelous Anchors",20,"C","2020",13.9555
"1314","T. Y?ld?z","Dosqaly","DF","Serious Thunderbirds",23,"B","2021",13.9564
"1362","O. Kuloba","Central Namemo Laand","DF","Supreme Janes",25,"B","2021",13.9568666666667
"2136","I. Takeuchi","Rarita","DF","Red Anchormen",19,"RFL","2021",13.9689
"1369","G. Suad","Lefghau","DFMF","Supreme Janes",28,"B","2021",13.97
"1225","X. Emmanuel","People's Land of Maneau","DFFW","Weak Tornadoes",26,"A","2021",13.9725
"383","E. Gupta","Esia","MFDF","Awkward Trailblazers",22,"C","2020",13.9734
"247","M. Sharabi","Dosqaly","MFDF","Overconfident Kangaroos",20,"B","2020",13.9743
"1444","X. Ahmad","Xikong","DF","Awkward Trailblazers",26,"C","2021",13.9763333333333
"876","K. Akullo","Imaar Vircoand","DFMF","Orange Giants",31,"E","2020",13.9813333333333
"1468","B. Nanyunja","Esia","DF","Fiery Governors",19,"C","2021",13.9843666666667
"377","P. Muianga","Quewenia","DF","Awkward Trailblazers",28,"C","2020",13.9845
"113","Q. Sam","Giumle Lizeibon","DF","Solemn Cougars",33,"A","2020",13.9854666666667
"722","H. Salah","Southern Ristan","DF","Serious Ranchers",25,"D","2020",13.9880333333333
"598","E. Németh","Sobianitedrucy","DF","Hideous Spartans",33,"D","2020",13.9888666666667
"1935","Y. Zgambo","Janmico","DF","Hideous Spiders",26,"E","2021",13.9939666666667
"529","A. Al-Ghamdi","Ledian","DF","Weak Chargers",32,"C","2020",13.9961333333333
"731","E. Atim","Sobianitedrucy","DF","Spicy Pointers",25,"D","2020",14.0025333333333
"366","J. Wojciechowski","Dosqaly","DF","Wet Monarchs",21,"B","2020",14.0050666666667
"1165","B. Weiß","People's Land of Maneau","DF","Silver Heels",34,"A","2021",14.0082666666667
"1040","O. Kasaija","Byasier Pujan","DF","Walking Runners",30,"RFL","2020",14.0102333333333
"526","C. Namugga","Esia","DF","Weak Chargers",21,"C","2020",14.0124666666667
"1102","L. Mugumya","People's Land of Maneau","DF","Green Fleet",22,"A","2021",14.0246
"2011","G. Syu","Janmico","DF","Punctual Leopards",26,"E","2021",14.0255
"1436","N. Bianco","Lylimi","DF","Wet Monarchs",25,"B","2021",14.031
"1342","F. Hubert","Dosqaly","DF","Solemn Leopards",26,"B","2021",14.0353
"427","Z. Nyiramahoro","Slandsganiamayotteque","MFDF","Little Lollipops",31,"C","2020",14.0387333333333
"122","C. Mwesige","People's Land of Maneau","MFDF","Solemn Cougars",29,"A","2020",14.0437333333333
"313","O. Ninsiima","Greri Landmoslands","DFFW","Swift Rustlers",24,"B","2020",14.0462333333333
"750","P. Mlotshwa","Sobianitedrucy","FWDF","Strange Pioneers",21,"D","2020",14.0507
"2067","C. Machingura","Nganion","DF","Serious Magicians",28,"E","2021",14.0511666666667
"167","J. Ssempijja","People's Land of Maneau","DF","Swift Musketeers",25,"A","2020",14.0534333333333
"401","L. Khachatryan","Esia","DF","Fiery Governors",31,"C","2020",14.0535
"1648","H. Jaber","Eastern Niasland","DFFW","Wicked Gentlefolk",20,"C","2021",14.0574
"1705","E. Mugoya","Byasier Pujan","DF","Flying Bombadiers",27,"D","2021",14.0664666666667
"669","L. Ranjbar","New Uwi","FWDF","Punctual Fire",17,"D","2020",14.0712
"312","N. Gumbo","People's Land of Maneau","DF","Swift Rustlers",18,"B","2020",14.073
"1336","H. Lefebvre","Reugha","DF","Simple Privateers",25,"B","2021",14.0835666666667
"934","O. Bošnjak","Northern Namemo Laand","DF","Screaming Ramblers",25,"E","2020",14.0838666666667
"1334","B. Bos","Nathuacamana","DF","Simple Privateers",24,"B","2021",14.0907333333333
"2092","S. Phillips","Nganion","DF","Ultimate Penguins",20,"E","2021",14.0933
"803","M. Lunkuse","Dosqaly","DF","Festive Governors",19,"E","2020",14.097
"442","C. Ndiweni","Galamily","DF","Mean Trolls",31,"C","2020",14.0980333333333
"996","Z. Bibi","Mico","DF","Golden Cadets",29,"RFL","2020",14.0984
"705","W. Ajwang","Sobianitedrucy","DF","Rowdy Clippers",21,"D","2020",14.0985666666667
"1343","S. Chelangat","Dosqaly","DF","Solemn Leopards",22,"B","2021",14.1068333333333
"1345","K. Golan","Lylimi","DF","Solemn Leopards",33,"B","2021",14.1090666666667
"1806","N. Muhammadu","Byasier Pujan","DF","Serious Ranchers",25,"D","2021",14.1102333333333
"532","J. Okullo","Esia","DFFW","Weak Chargers",22,"C","2020",14.1111333333333
"1274","D. Kugonza","Dosqaly","DF","Mean Colts",23,"B","2021",14.1157
"431","N. Ofosu","Esia","DF","Marvelous Anchors",26,"C","2020",14.1159666666667
"1994","U. Ahebwa","Nganion","DF","Plane Janes",24,"E","2021",14.1162
"889","G. Kintu","Manlisgamncent","DF","Polar Kangaroos",27,"E","2020",14.1170333333333
"99","J. Dahiru","Rarita","DF","Punctual Rustlers",27,"A","2020",14.1230666666667
"2074","P. Paterson","Nganion","DFMF","Serious Magicians",31,"E","2021",14.1263666666667
"1248","E. Gamal","Dosqaly","DF","Golden Rustlers",27,"B","2021",14.1308333333333
"25","T. Awuah","People's Land of Maneau","DF","Great Galactic Gorgons",25,"A","2020",14.1327333333333
"395","D. Hsu","Esia","MFDF","Blue Jaguars",29,"C","2020",14.1334666666667
"550","W. Ongom","Sobianitedrucy","DF","Coy Sunbirds",29,"D","2020",14.1362
"148","W. Yahaya","Greri Landmoslands","MFDF","Stacked Rocks",20,"A","2020",14.1368333333333
"1986","Y. Kasozi","Greri Landmoslands","MFDF","Orange Giants",26,"E","2021",14.1396
"1627","F. Schäfer","Rosvi","FWDF","Weak Chargers",24,"C","2021",14.1452333333333
"391","S. Oduro","Republic of Denand Landsa","DF","Blue Jaguars",24,"C","2020",14.1504
"787","L. Fung","Greri Landmoslands","DFFW","Deferred Dolphins",22,"E","2020",14.159
"721","Q. Henriksen","Sobianitedrucy","DF","Serious Ranchers",25,"D","2020",14.1602
"224","O. Barone","Biarizea","DF","Jumping Beans",31,"B","2020",14.1609666666667
"1521","Q. Okurut","People's Land of Maneau","DF","Mean Trolls",21,"C","2021",14.1639
"243","S. Aisyah","Dosqaly","DF","Overconfident Kangaroos",22,"B","2020",14.1666666666667
"946","C. Najafi","Greri Landmoslands","DF","Swift Bison",20,"E","2020",14.1722333333333
"896","G. Namakula","Nganion","MFDF","Polar Kangaroos",24,"E","2020",14.1792666666667
"137","O. Mägi","Central Diasongo","DF","Stacked Rocks",26,"A","2020",14.1804
"1734","K. Nanyondo","Sobianitedrucy","DFMF","Hideous Spartans",27,"D","2021",14.1892666666667
"1181","C. Mwesige","People's Land of Maneau","DFFW","Solemn Cougars",30,"A","2021",14.2002333333333
"364","X. Lim","Tabhu Striary","FWDF","Weak Blimps",22,"B","2020",14.2012
"1716","K. Nanyondo","Sobianitedrucy","DF","Flying Bombadiers",27,"D","2021",14.2039
"1151","N. Kamusiime","Dosqaly","DF","Punctual Rustlers",27,"A","2021",14.2041666666667
"1948","L. Adikini","Nganion","DF","Horrible Bison",28,"E","2021",14.2187333333333
"2153","M. Pedersen","Rarita","MFDF","Serious Buffaloes",23,"RFL","2021",14.2214666666667
"111","J. Agaba","Byasier Pujan","DFMF","Silver Heels",22,"A","2020",14.2223
"1577","D. Hsu","Esia","DF","Supreme Jaguars",30,"C","2021",14.2227333333333
"872","C. Lunyolo","Nganion","DF","Orange Giants",23,"E","2020",14.2281666666667
"277","B. Nakabugo","Sina Daofra","MFDF","Simple Privateers",31,"B","2020",14.2305666666667
"319","H. Chandiru","Dosqaly","DF","Unaccountable Foxes",19,"B","2020",14.2312
"1502","Z. Testa","Giumle Lizeibon","DFFW","Little Lollipops",24,"C","2021",14.2364333333333
"217","T. Mande","Dosqaly","DF","Hideous Pioneers",18,"B","2020",14.2386333333333
