"","Player","Nation","Pos","Squad","Age","League","Year","FWPred"
"1079","J. Lysenko","Sobianitedrucy","FW","Flawless Cows",20,"B","2021",10.0662666666667
"1293","B. Hadži?","Esia","FW","Awkward Trailblazers",25,"C","2021",10.0664666666667
"874","X. Thomas","Rarita","FW","Educated Avengers",27,"RFL","2020",10.0681666666667
"1230","U. Musa","Esia","FWMF","Swift Rustlers",28,"B","2021",10.0719666666667
"1139","N. Soto","Lenia Gerdanho","FWMF","Mean Poets",23,"B","2021",10.0756
"720","S. Costa","Lefghau","FW","Mad Kingsmen",18,"E","2020",10.0783666666667
"1284","C. Domínguez","Southern Viout Aman","FW","Wet Monarchs",19,"B","2021",10.0786333333333
"40","U. Chio","Lefghau","FW","Horrible Grizzlies",30,"A","2020",10.0839333333333
"1747","Q. Hämäläinen","Rarita","FW","Plane Janes",26,"E","2021",10.0854666666667
"417","Q. Hämäläinen","Rarita","FW","Serious Cyclones",25,"C","2020",10.0907
"1365","P. Anderson","Esia","FW","Punctual Archers",24,"C","2021",10.0912333333333
"536","V. Ngwira","Sobianitedrucy","FW","Fighting Wave",21,"D","2020",10.0951
"1247","R. Okwera","Dosqaly","FW","Unethical Comets",17,"B","2021",10.0966666666667
"666","L. Mandala","Nganion","MFFW","Wet Flames",29,"D","2020",10.1006666666667
"1779","G. Fauzi","Imaar Vircoand","MFFW","Rabid Greyhounds",27,"E","2021",10.1024666666667
"1110","J. Lorenz","Biarizea","FWMF","Grotesque Rocks",24,"B","2021",10.1124
"1725","S. Costa","Lefghau","FW","Mad Kingsmen",19,"E","2021",10.1134
"385","P. Ma","Esia","FWMF","Marvelous Anchors",25,"C","2020",10.1184
"87","J. Lysenko","Sobianitedrucy","FW","Punctual Rustlers",19,"A","2020",10.1245
"1341","M. Li","Iverde","FWDF","Little Lollipops",32,"C","2021",10.1283
"683","M. Nakyejwe","Varijitri Isles","FW","Delta Colts",22,"E","2020",10.1315
"255","S. Zupan","Dosqaly","FW","Somber Stallions",32,"B","2020",10.1355666666667
"1038","X. Boateng","Southern Ristan","MFFW","Solemn Cougars",26,"A","2021",10.1451666666667
"300","A. Alotaibi","Coastpa Barleslands","FWMF","Unethical Comets",36,"B","2020",10.1453
"112","H. Mafabi","Dosqaly","MFFW","Somber Bombers",22,"A","2020",10.1455666666667
"1419","X. De Vries","Ingre","MFFW","Spicy Gophers",22,"C","2021",10.1479
"1135","E. Kaweesi","Giumle Lizeibon","FW","Mean Poets",23,"B","2021",10.1486
"271","O. Tio","Southern Ristan","FWMF","Supreme Janes",25,"B","2020",10.1487333333333
"1806","H. Namwase","Nganion","FW","Screaming Ramblers",30,"E","2021",10.1545666666667
"721","J. Atuhairwe","Morticre","FW","Mad Kingsmen",25,"E","2020",10.1619
"1687","G. Nakasi","Western Niasland","FWMF","Flying Penguins",21,"E","2021",10.1683
"755","G. Mlakar","Republic of Denand Landsa","MFFW","Plane Janes",20,"E","2020",10.1805
"539","Y. Smit","Sobianitedrucy","MFFW","Fighting Wave",25,"D","2020",10.1865333333333
"1344","N. Nalule","Esia","MFFW","Little Lollipops",31,"C","2021",10.1908666666667
"908","L. Tu","Esia","FW","Marvelous Coyotes",23,"RFL","2020",10.1911666666667
"679","G. Eng","Zamlie Niabangthe","FWMF","Deferred Dolphins",26,"E","2020",10.1962666666667
"308","L. Das","Central Diasongo","DFFW","Weak Blimps",20,"B","2020",10.1963666666667
"872","N. Chaw","Rarita","FW","Educated Avengers",30,"RFL","2020",10.1979666666667
"86","N. Ono","People's Land of Maneau","FW","Punctual Rustlers",22,"A","2020",10.2075
"1369","K. Ssenyondo","Esia","FWMF","Punctual Archers",28,"C","2021",10.2075
"546","C. Majoni","Sobianitedrucy","FWMF","Flying Bombadiers",27,"D","2020",10.2137
"1099","J. Testa","Dosqaly","FWMF","Golden Rustlers",17,"B","2021",10.2139
"829","E. Obbo","Landli Blicporlip","MFFW","Swift Bison",18,"E","2020",10.2143333333333
"717","U. Nasser","Greri Landmoslands","MFFW","Mad Bees",27,"E","2020",10.2193666666667
"1545","Z. Njoku","Imaar Vircoand","FW","Hideous Spartans",25,"D","2021",10.2283666666667
"733","Y. Hodži?","Nganion","FWMF","Mighty Jimmies",26,"E","2020",10.2328333333333
"1479","B. Nambuya","Dosqaly","DFFW","Wicked Gentlefolk",19,"C","2021",10.2341
"1391","I. Campbell","Esia","FWMF","Serious Cyclones",15,"C","2021",10.2366666666667
"240","A. Nakalyango","Zamlie Niabangthe","FWMF","Simple Privateers",24,"B","2020",10.2372666666667
"1297","H. Odoi","Esia","FWMF","Awkward Trailblazers",18,"C","2021",10.2434
"1527","Z. Banda","Eastern Niasland","MFFW","Fighting Clippers",20,"D","2021",10.2538333333333
"573","L. Jean","Badad","FWMF","Marvelous Patriots",28,"D","2020",10.2542666666667
"900","Q. Onzima","Rarita","FW","Mad Cardinals",29,"RFL","2020",10.2555333333333
"1603","F. Pellegrini","Nganion","FWMF","Remarkable Flames",33,"D","2021",10.2568
"1014","L. Lechner","Lefghau","FW","Punctual Rustlers",23,"A","2021",10.2574666666667
"1071","U. Atugonza","Republic of Denand Landsa","FWMF","Weak Tornadoes",21,"A","2021",10.2584
"1454","C. Mugabirwe","Esia","MFFW","Ultimate Longhorns",26,"C","2021",10.2650666666667
"544","M. Ogbonna","Mico","FWMF","Flying Bombadiers",19,"D","2020",10.2656666666667
"864","P. bin Ibrahim","Rarita","FWMF","Black Coyotes",25,"RFL","2020",10.2665
"120","J. Dubois","Mico","MFFW","Stacked Rocks",27,"A","2020",10.272
"449","Z. Matsui","Giumle Lizeibon","FW","Supreme Jaguars",25,"C","2020",10.2752333333333
"1487","N. Almeida","Imaar Vircoand","FWDF","Wicked Gentlefolk",22,"C","2021",10.2768333333333
"1460","H. Nagy","Western Niasland","FW","Weak Chargers",27,"C","2021",10.2774
"946","V. Taheri","People's Land of Maneau","FW","Fighting Cougars",29,"A","2021",10.2869333333333
"1893","I. Saha","Rarita","FW","Strong Oaks",26,"RFL","2021",10.2908333333333
"318","P. Li","Dosqaly","MFFW","Weak Blimps",21,"B","2020",10.2920333333333
"616","H. Sat?","Byasier Pujan","FWMF","Remarkable Flames",20,"D","2020",10.2941
"1776","P. Kayesu","Nganion","FWMF","Rabid Greyhounds",27,"E","2021",10.2989666666667
"34","N. Gheorghe","Republic of Denand Landsa","FW","Green Fleet",30,"A","2020",10.2994333333333
"1704","O. Zen","Xikong","FW","Horrible Bison",20,"E","2021",10.3009666666667
"1569","D. Arinaitwe","Sobianitedrucy","FWMF","Marvelous Patriots",17,"D","2021",10.3043666666667
"1737","T. Sommer","Nganion","FW","Orange Giants",30,"E","2021",10.3057666666667
"923","Y. Anguyo","Republic of Denand Landsa","FWMF","Walking Runners",23,"RFL","2020",10.3105
"583","L. Mumbere","Nkasland Cronestan","FWDF","Mean Wolves",28,"D","2020",10.3136
"406","N. Aber","Republic of Denand Landsa","FWMF","Punctual Archers",22,"C","2020",10.3161666666667
"773","S. Ibraimo","Nganion","FWMF","Punctual Leopards",23,"E","2020",10.3164333333333
"337","G. Chakanyuka","Loco Phirema","FW","Awkward Trailblazers",23,"C","2020",10.3167
"205","K. Boyer","Western Niasland","FWMF","Lady Ocelots",27,"B","2020",10.3192666666667
"1233","E. Eliyahu","Dosqaly","MFFW","Swift Rustlers",20,"B","2021",10.3243333333333
"293","E. König","Dosqaly","MFFW","Unaccountable Foxes",15,"B","2020",10.3252
"1694","A. Negri","Nganion","FWMF","Hideous Spiders",22,"E","2021",10.3277333333333
"920","Q. Zyu","Imaar Vircoand","FWMF","Walking Runners",28,"RFL","2020",10.3360333333333
"623","O. Nyasulu","Sobianitedrucy","FW","Rowdy Clippers",28,"D","2020",10.3375
"313","F. Fournier","Pierrema","FWDF","Weak Blimps",23,"B","2020",10.3409333333333
"794","K. Vogel","Nganion","FW","Sassy Knights",31,"E","2020",10.3429666666667
"998","C. Ssentamu","People's Land of Maneau","FW","Mighty Jays",21,"A","2021",10.3452666666667
"1202","P. Jackson","Imaar Vircoand","FW","Solemn Leopards",30,"B","2021",10.3453
"1016","N. Ono","People's Land of Maneau","FW","Punctual Rustlers",23,"A","2021",10.3614666666667
"1310","F. Ankrah","Esia","FWDF","Blue Jaguars",17,"C","2021",10.3629333333333
"1039","Q. Higenyi","Varijitri Isles","MFFW","Solemn Cougars",23,"A","2021",10.3692333333333
"1358","V. Supriadi","Esia","FWMF","Mean Trolls",22,"C","2021",10.371
"1877","H. Makumbi","Rarita","FW","Red Anchormen",26,"RFL","2021",10.3795333333333
"1791","D. Pfeiffer","Imaar Vircoand","MFFW","Running Bigfoots",32,"E","2021",10.3904666666667
"1103","P. Atukwatse","Dosqaly","MFFW","Golden Rustlers",18,"B","2021",10.3953
"765","R. Kiberu","Nganion","MFFW","Polar Kangaroos",29,"E","2020",10.3996
"1576","G. Mwima","Sobianitedrucy","FW","Mean Wolves",30,"D","2021",10.4000666666667
"383","F. Kanyago","Esia","FWMF","Marvelous Anchors",23,"C","2020",10.4054
"237","T. Tindyebwa","New Somoe","FW","Simple Privateers",30,"B","2020",10.4065333333333
"919","C. Ferhatovi?","Coastpa Barleslands","FWMF","Walking Runners",21,"RFL","2020",10.4076
"1270","F. Shaikh","Dosqaly","FWMF","Weak Blimps",20,"B","2021",10.4114
"1234","L. Prasad","Eastern Sleboube","MFFW","Swift Rustlers",24,"B","2021",10.4144333333333
"419","E. Bah","Mico","FWMF","Serious Cyclones",20,"C","2020",10.4168666666667
"108","R. Wambi","People's Land of Maneau","FW","Somber Bombers",28,"A","2020",10.4186333333333
"907","O. Nambafu","Rarita","MFFW","Mad Cardinals",25,"RFL","2020",10.4189333333333
"1052","L. Kyalisiima","Byasier Pujan","FWMF","Stacked Rocks",22,"A","2021",10.4275
"294","M. Azulay","Dosqaly","MFFW","Unaccountable Foxes",21,"B","2020",10.4304
"1904","B. Quaye","Rarita","FW","Wild Hornets",22,"RFL","2021",10.4331
"983","O. Nampeera","People's Land of Maneau","MFFW","Horrible Grizzlies",21,"A","2021",10.4357666666667
"95","R. Arai","Varijitri Isles","FW","Silver Heels",28,"A","2020",10.4377333333333
"303","E. Ajwang","Central Namemo Laand","FW","Villainous Eagles",27,"B","2020",10.4415
"830","K. Mukwaya","Nganion","MFFW","Swift Bison",19,"E","2020",10.4425333333333
"890","Q. Nyangoma","Rarita","FW","Great Pandas",28,"RFL","2020",10.4452333333333
"1225","Y. Makavan","Dosqaly","MFFW","Supreme Janes",20,"B","2021",10.4456333333333
"814","G. Mussa","Nganion","FW","Serious Magicians",38,"E","2020",10.4553333333333
"1826","S. Nakasi","Nganion","FWMF","Swift Bison",23,"E","2021",10.4590333333333
"492","U. Tkachenko","Byasier Pujan","MFFW","Weak Chargers",21,"C","2020",10.4664666666667
"876","A. Perez","Rarita","FW","Golden Cadets",31,"RFL","2020",10.4720333333333
"1696","G. Musoke","Nganion","FWMF","Hideous Spiders",22,"E","2021",10.4761333333333
"855","K. Nasution","Greri Landmoslands","FW","Black Coyotes",23,"RFL","2020",10.4834333333333
"81","Q. Nakityo","Quewenia","FWMF","Old Mustangs",27,"A","2020",10.488
"1769","A. Kawala","Nganion","MFFW","Punctual Leopards",20,"E","2021",10.4889666666667
"1718","L. Nangiro","Eastern Niasland","MFFW","Mad Bees",25,"E","2021",10.4893666666667
"1414","C. Mari?","Giumle Lizeibon","FWMF","Spicy Gophers",27,"C","2021",10.4902333333333
"1055","D. Obeng","Ngoque Blicri","FW","Swift Musketeers",24,"A","2021",10.4926333333333
"1167","H. Chirwa","Dosqaly","MFFW","Serious Thunderbirds",18,"B","2021",10.4960333333333
"582","V. Morel","Imaar Vircoand","FWDF","Mean Wolves",23,"D","2020",10.4976
"1315","M. Omony","Giumle Lizeibon","MFFW","Blue Jaguars",20,"C","2021",10.5
"789","P. bin Ibrahim","Nganion","FWMF","Running Bigfoots",25,"E","2020",10.5013666666667
"935","D. Oren","Central Diasongo","FW","Fanatical Outlaws",26,"A","2021",10.5017333333333
"1746","S. Wahab","Nganion","FW","Plane Janes",19,"E","2021",10.5052333333333
"1219","B. Roche","Dosqaly","FWMF","Supreme Janes",26,"B","2021",10.5086666666667
"85","L. Lechner","Lefghau","FW","Punctual Rustlers",22,"A","2020",10.5119666666667
"500","Z. Mayr","Lefghau","FWMF","White Firebirds",20,"C","2020",10.5130333333333
"893","H. Jiu","Rarita","FWMF","Great Pandas",25,"RFL","2020",10.5168666666667
"684","L. Grasso","Nganion","FWMF","Delta Colts",22,"E","2020",10.5188666666667
"1134","R. Lor","Dosqaly","FW","Mean Poets",26,"B","2021",10.5279
"851","G. Matei","Nganion","MFFW","Ultimate Penguins",27,"E","2020",10.5316666666667
"528","C. Mugabirwe","Esia","FWMF","Fighting Clippers",25,"D","2020",10.5367
"114","Z. binti Zakaria","People's Land of Maneau","FW","Stacked Rocks",26,"A","2020",10.5369333333333
"1144","X. Chevalier","Dosqaly","MFFW","Mean Poets",23,"B","2021",10.544
"1897","Z. Zziwa","Rarita","FW","Strong Oaks",23,"RFL","2021",10.5473
"618","B. Asiedu","Isle of Lababwe","FWMF","Remarkable Flames",30,"D","2020",10.5498
"1617","J. Soares","Eastern Niasland","FWMF","Spicy Pointers",37,"D","2021",10.5500333333333
"468","O. Nairuba","Esia","MFFW","Ultimate Dolphins",29,"C","2020",10.5511666666667
"1814","D. De Jong","Nganion","FWMF","Serious Magicians",20,"E","2021",10.5529
"1838","I. Tukahirwa","Dosqaly","MFFW","Ultimate Penguins",27,"E","2021",10.5598
"117","C. Guerrero","Lefghau","FWMF","Stacked Rocks",26,"A","2020",10.5613333333333
"231","H. Amponsah","Pierrema","FW","Simple Jayhawks",26,"B","2020",10.5664333333333
"898","V. Mutasa","Rarita","MFFW","Great Pandas",29,"RFL","2020",10.5671
"1533","U. Taaka","Xikong","MFFW","Fighting Wave",20,"D","2021",10.5686666666667
"428","D. Wahyudi","Esia","FWMF","Silver Frogs",26,"C","2020",10.5699
"490","Q. Virtanen","Nkasland Cronestan","FWMF","Weak Chargers",24,"C","2020",10.5711333333333
"1087","G. Lombardo","Dosqaly","FWMF","Glistening Paladins",22,"B","2021",10.5726666666667
"1053","D. Namugerwa","Imaar Vircoand","FWMF","Stacked Rocks",28,"A","2021",10.5741333333333
"1392","V. Wolf","Esia","FWMF","Serious Cyclones",18,"C","2021",10.5755666666667
"502","W. Isah","Giumle Lizeibon","MFFW","White Firebirds",25,"C","2020",10.5757333333333
"1642","H. Baumgartner","Unicorporated Tiagascar","MFFW","Wet Flames",23,"D","2021",10.5861666666667
"306","Q. Yamazaki","Pierrema","MFFW","Villainous Eagles",22,"B","2020",10.5875333333333
"175","U. Musekiwa","Southern Ristan","FW","Hideous Pioneers",21,"B","2020",10.589
"503","J. Pedro","Nganion","MFFW","White Firebirds",21,"C","2020",10.5922333333333
"613","W. Mertens","Manlisgamncent","FW","Remarkable Flames",31,"D","2020",10.5942
"711","G. Nalukwago","Southern Ristan","FWMF","Horrible Bison",24,"E","2020",10.5995666666667
"1244","H. Mubaiwa","Rarita","FW","Unaccountable Foxes",32,"B","2021",10.6025
"838","C. Nanyonga","Nganion","FWMF","Swift Marauders",18,"E","2020",10.6053666666667
"150","G. Lombardo","Dosqaly","FWMF","Glistening Paladins",21,"B","2020",10.6086666666667
"296","D. Masuku","Dosqaly","FW","Unethical Comets",25,"B","2020",10.6098
"158","E. Cortez","Dosqaly","FW","Golden Rustlers",22,"B","2020",10.6237
"1750","L. Suárez","Nganion","FWMF","Plane Janes",17,"E","2021",10.6279333333333
"1565","L. Jean","Badad","FWMF","Marvelous Patriots",29,"D","2021",10.6282666666667
"1888","G. binti Salleh","Rarita","MFFW","Serious Buffaloes",26,"RFL","2021",10.6350333333333
"1123","X. Opira","Dosqaly","MFFW","Jumping Beans",18,"B","2021",10.6424333333333
"1002","E. Nakanjako","Rarita","MFFW","Mighty Jays",20,"A","2021",10.6432
"239","O. Martini","Tercapetralgrorus","FWMF","Simple Privateers",23,"B","2020",10.6463666666667
"735","E. Rossetti","Central Diasongo","MFFW","Mighty Jimmies",28,"E","2020",10.6513666666667
"1054","C. Guerrero","Lefghau","FWMF","Stacked Rocks",27,"A","2021",10.6588
"100","H. Acan","People's Land of Maneau","FW","Solemn Cougars",20,"A","2020",10.6642
"122","J. Amsalem","Leoneku Guidisia","FW","Sugar Storm",29,"A","2020",10.6668
"1333","V. Mudondo","People's Land of Maneau","FW","Horrible Flames",24,"C","2021",10.6718
"404","G. Bey","Xikong","FW","Punctual Archers",28,"C","2020",10.6762333333333
"823","N. bin Sulaiman","Dosqaly","FW","Swift Bison",32,"E","2020",10.6818666666667
"414","S. Kisakye","Esia","DFFW","Serious Cyclones",31,"C","2020",10.6819
"1009","L. Edwards","People's Land of Maneau","FWMF","Old Mustangs",26,"A","2021",10.6824666666667
"1898","B. Nakandi","Rarita","FWMF","Strong Oaks",28,"RFL","2021",10.6832
"258","L. Aguilar","Lefghau","FWMF","Somber Stallions",23,"B","2020",10.6839333333333
"649","F. Gatti","Lefghau","FW","Strange Pioneers",22,"D","2020",10.6918
"1453","O. Arinaitwe","Central Republic of Boekrainego","MFFW","Ultimate Longhorns",24,"C","2021",10.6978
"1780","L. Lubega","Nganion","MFFW","Rabid Greyhounds",23,"E","2021",10.6981333333333
"1625","P. Nkomo","Eastern Sleboube","FWMF","Strange Pioneers",29,"D","2021",10.7054
"168","B. Ghorbani","Ngogalar","FW","Grotesque Rocks",25,"B","2020",10.706
"185","O. Ghanbari","Coastpa Barleslands","FW","Jumping Beans",22,"B","2020",10.7071666666667
"991","N. Bondarenko","People's Land of Maneau","FWMF","Horrible Storm",16,"A","2021",10.7113666666667
"1772","A. Fatimah","Nganion","DFFW","Rabid Greyhounds",19,"E","2021",10.7123666666667
"1490","P. Namono","Esia","FWMF","Wicked Gentlefolk",30,"C","2021",10.7164666666667
"1432","M. Ebong","Esia","FWMF","Supreme Jaguars",28,"C","2021",10.7189
"1824","B. Quaye","Sobianitedrucy","FW","Swift Bison",22,"E","2021",10.7219
"1574","V. Morel","Imaar Vircoand","FW","Mean Wolves",24,"D","2021",10.7241333333333
"129","L. Öztürk","Quewenia","FWMF","Sugar Storm",26,"A","2020",10.7269666666667
"1163","V. Gallo","Tabhu Striary","FW","Serious Thunderbirds",29,"B","2021",10.7297333333333
"1437","L. Kaur","Biarizea","MFFW","Supreme Jaguars",21,"C","2021",10.7306666666667
"1770","H. Ziegler","Nganion","MFFW","Punctual Leopards",23,"E","2021",10.7409666666667
"1465","Z. Mayr","Lefghau","FWMF","Weak Chargers",21,"C","2021",10.7507333333333
"535","I. Kafeero","Sobianitedrucy","FW","Fighting Wave",20,"D","2020",10.7515333333333
"51","K. Muhumuza","People's Land of Maneau","FW","Horrible Storm",21,"A","2020",10.7539333333333
"1848","J. Suryani","Redohrainbri","FWMF","Black Coyotes",20,"RFL","2021",10.7542
"1507","N. Twesigye","Sobianitedrucy","FW","Coy Sunbirds",28,"D","2021",10.7574666666667
"1596","U. Nambuya","Galamily","MFFW","Red Rangers",25,"D","2021",10.7585
"1106","E. Apiyo","Pierrema","MFFW","Golden Rustlers",21,"B","2021",10.7588333333333
"806","H. Namwase","Nganion","FW","Screaming Ramblers",29,"E","2020",10.7602333333333
"1175","A. Salazar","Rarita","FW","Simple Jayhawks",23,"B","2021",10.7608333333333
"254","K. Baumann","Tabhu Striary","MFFW","Solemn Leopards",24,"B","2020",10.7653
"870","I. Y?ld?r?m","Galamily","FW","Educated Avengers",27,"RFL","2020",10.7704
"1152","Q. Ajiko","Lefghau","FWMF","Overconfident Kangaroos",23,"B","2021",10.7764333333333
"1100","T. Karmakar","Dosqaly","FWMF","Golden Rustlers",29,"B","2021",10.7784333333333
"1251","G. Parisi","Rosvi","FWMF","Unethical Comets",30,"B","2021",10.7788666666667
"1551","G. Mar","Pierrema","MFFW","Hideous Spartans",23,"D","2021",10.7853
"44","N. Nantege","People's Land of Maneau","FW","Horrible Grizzlies",18,"A","2020",10.7895
"897","P. Chari","Rarita","MFFW","Great Pandas",21,"RFL","2020",10.7924333333333
"268","F. Kyoshabire","Dosqaly","FWMF","Supreme Janes",20,"B","2020",10.7930666666667
"1044","D. Masereka","Ngoque Blicri","FWMF","Somber Bombers",26,"A","2021",10.794
"187","C. Nafuna","Dosqaly","FWMF","Jumping Beans",22,"B","2020",10.7941666666667
"319","G. Mar","Pierrema","MFFW","Weak Blimps",22,"B","2020",10.7959333333333
"394","B. Alali","Esia","FWMF","Mean Trolls",28,"C","2020",10.7979666666667
"759","R. Baidoo","Nganion","FW","Polar Kangaroos",22,"E","2020",10.8003
"558","C. Gheorghe","Central Diasongo","FW","Marvelous Heels",17,"D","2020",10.8089666666667
"423","B. Nakiyemba","Esia","MFFW","Serious Cyclones",23,"C","2020",10.8110666666667
"2","F. Lubowa","Newgan Ruland","FW","Fanatical Outlaws",31,"A","2020",10.8128333333333
"348","H. Engel","Byasier Pujan","FW","Blue Jaguars",25,"C","2020",10.8134333333333
"828","B. Kwek","Greri Landmoslands","MFFW","Swift Bison",22,"E","2020",10.8135666666667
"936","I. Namirimu","Thaijagypt","FW","Fanatical Outlaws",30,"A","2021",10.8158666666667
"505","P. Uddin","Xikong","MFFW","White Firebirds",27,"C","2020",10.8169
"1798","L. Nakalembe","Nganion","FWMF","Sassy Knights",32,"E","2021",10.824
"16","M. Hsieh","Lonnia Haba","FWMF","Fighting Cougars",25,"A","2020",10.8285666666667
"351","F. Ankrah","Esia","FWMF","Blue Jaguars",16,"C","2020",10.8325
"356","V. Ikeda","Southern Viout Aman","FWMF","Blue Jaguars",25,"C","2020",10.8341
"800","L. Nakalembe","Nganion","FWMF","Sassy Knights",31,"E","2020",10.8352666666667
"494","V. Namayanja","Ledian","MFFW","Weak Chargers",24,"C","2020",10.8353
"489","Z. Mayr","Lefghau","FWMF","Weak Chargers",20,"C","2020",10.8366666666667
"311","P. Khoh","Mico","FW","Weak Blimps",21,"B","2020",10.8371666666667
"194","E. Muwanguzi","Reugha","FWMF","Jumping Beans",24,"B","2020",10.8375
"1459","Q. Virtanen","Nkasland Cronestan","FW","Weak Chargers",25,"C","2021",10.838
"745","N. Niwagaba","Nganion","MFFW","Orange Giants",32,"E","2020",10.8456666666667
"363","X. Hofer","New Uwi","FW","Fiery Governors",31,"C","2020",10.8502
"1645","B. Lindberg","Rosvi","FW","Big Foxes",22,"E","2021",10.8587666666667
"877","K. Atto","Varijitri Isles","FW","Golden Cadets",25,"RFL","2020",10.8593333333333
"1641","J. Maeda","Sobianitedrucy","MFFW","Wet Flames",28,"D","2021",10.8646
"1158","C. Nankya","Dosqaly","FW","Serious Thunderbirds",19,"B","2021",10.8699666666667
"1337","Z. Testa","Giumle Lizeibon","DFFW","Little Lollipops",24,"C","2021",10.8752666666667
"951","M. Hsieh","Lonnia Haba","FWMF","Fighting Cougars",26,"A","2021",10.8765333333333
"1350","L. Owori","Landli Blicporlip","FWMF","Marvelous Anchors",20,"C","2021",10.8775666666667
"154","E. Ciobanu","Tercapetralgrorus","FWMF","Glistening Paladins",25,"B","2020",10.8795333333333
"656","A. Nanjala","Western Niasland","MFFW","Strange Pioneers",20,"D","2020",10.8817333333333
"506","U. Molla","Central Diasongo","FW","Coy Sunbirds",32,"D","2020",10.8829666666667
"1868","T. Wanyenze","People's Land of Maneau","MFFW","Mad Wolverines",22,"RFL","2021",10.9073666666667
"861","V. Meijer, Meyer","Southern Ristan","FWDF","Black Coyotes",20,"RFL","2020",10.9109333333333
"330","A. Serrano","Pierrema","FWMF","Wet Monarchs",26,"B","2020",10.9119333333333
"126","B. Álvarez","People's Land of Maneau","FWMF","Sugar Storm",21,"A","2020",10.9125333333333
"657","E. Gayakwad","Imaar Vircoand","FW","Sugar Bengals",21,"D","2020",10.9137
"338","R. Mbeiza","Slandsganiamayotteque","FW","Awkward Trailblazers",19,"C","2020",10.9206333333333
"979","N. Nantege","People's Land of Maneau","FWDF","Horrible Grizzlies",19,"A","2021",10.9240333333333
"323","L. Lukwago","Coastpa Barleslands","FW","Wet Monarchs",22,"B","2020",10.9252666666667
"1220","E. Lund","Republic of Denand Landsa","FWMF","Supreme Janes",25,"B","2021",10.9262666666667
"971","L. Amadu","Xikong","FW","Green Fleet",18,"A","2021",10.9290333333333
"1405","G. Kwiatkowski","Nkasland Cronestan","FWMF","Silver Frogs",18,"C","2021",10.9301333333333
"1010","A. Logose","Lylimi","MFFW","Old Mustangs",25,"A","2021",10.9392333333333
"410","Q. Patil","Esia","MFFW","Punctual Archers",26,"C","2020",10.9446333333333
"227","D. Tshuma","Coastpa Barleslands","FW","Simple Jayhawks",24,"B","2020",10.9462333333333
"1849","P. Villa","Rarita","MFFW","Black Coyotes",20,"RFL","2021",10.9498333333333
"689","V. Abu","Nganion","MFFW","Delta Colts",26,"E","2020",10.9516333333333
"430","I. Kyakimwa","Lefghau","MFFW","Silver Frogs",25,"C","2020",10.9579666666667
"1069","M. Iqbal","Lenia Gerdanho","FWMF","Weak Tornadoes",28,"A","2021",10.9581
"1327","B. Munemo","Giumle Lizeibon","MFFW","Fiery Governors",26,"C","2021",10.9619666666667
"229","S. Moss","Coastpa Barleslands","FW","Simple Jayhawks",25,"B","2020",10.963
"746","V. Nakiyemba","Northern Namemo Laand","MFFW","Orange Giants",33,"E","2020",10.9657666666667
"1397","B. Kalyango","Lefghau","MFFW","Serious Cyclones",18,"C","2021",10.9667
"706","O. Zen","Xikong","FW","Horrible Bison",19,"E","2020",10.9728
"155","F. Aziz","Dosqaly","MFFW","Glistening Paladins",28,"B","2020",10.9753333333333
"648","E. Amanya","Dosqaly","FW","Strange Pioneers",36,"D","2020",10.9810666666667
"1836","T. Amer","Nganion","FWMF","Ultimate Penguins",27,"E","2021",10.9837
"324","L. Chandia","Dosqaly","FW","Wet Monarchs",31,"B","2020",10.9845
"878","B. Elbaz","Rarita","FWMF","Golden Cadets",22,"RFL","2020",10.9856333333333
"1322","Q. Tshia","Esia","FWDF","Fiery Governors",20,"C","2021",10.9858666666667
"519","A. Kyarikunda","Lefghau","FWMF","Deranged Defenders",29,"D","2020",10.9875
"1830","Z. Hansson","Newgan Ruland","FW","Ultimate Penguins",20,"E","2021",10.9881
"1371","Q. Patil","Esia","FWMF","Punctual Archers",27,"C","2021",10.9884333333333
"608","J. Chew","Sobianitedrucy","FWMF","Red Rangers",24,"D","2020",10.9890333333333
"1808","D. Mugisa","Xikong","FWMF","Screaming Ramblers",28,"E","2021",10.9894333333333
"88","R. Arai","Varijitri Isles","FW","Punctual Rustlers",28,"A","2020",11.0015333333333
"1860","N. Hang","Djipines","FWMF","Mad Wolverines",31,"RFL","2021",11.0031666666667
"517","I. Shoshan","Former Maneau","FW","Deranged Defenders",29,"D","2020",11.0036333333333
"1675","U. Nafula","Mico","FW","Festive Governors",29,"E","2021",11.0043
"1177","E. Okonkwo","Coastpa Barleslands","FWMF","Simple Jayhawks",20,"B","2021",11.0105333333333
"1223","H. Pang","Dosqaly","MFFW","Supreme Janes",22,"B","2021",11.0143
"632","S. Mussa","Byasier Pujan","FW","Serious Ranchers",20,"D","2020",11.0179
"1781","U. Oliveira","Nganion","MFFW","Rabid Greyhounds",40,"E","2021",11.0204666666667
"1298","O. Pellegrini","Esia","FWMF","Awkward Trailblazers",27,"C","2021",11.0215333333333
"1833","M. Nanzala","Nganion","FWMF","Ultimate Penguins",39,"E","2021",11.0222
"824","I. Kiiza","Janmico","FW","Swift Bison",22,"E","2020",11.0293
"1386","P. Mudimba","Lylimi","MFFW","Red Artichokes",22,"C","2021",11.0358
"1105","M. Anderson","Nganion","MFFW","Golden Rustlers",27,"B","2021",11.0365
"551","P. Matsumoto","Sobianitedrucy","FW","Hideous Spartans",19,"D","2020",11.0389
